iter	Passed	Remaining
0	57	57454
1	72	36296
2	106	35309
3	146	36468
4	160	31887
5	233	38700
6	287	40745
7	302	37448
8	345	38058
9	408	40416
10	450	40503
11	490	40413
12	529	40233
13	597	42079
14	674	44301
15	721	44381
16	822	47532
17	866	47248
18	917	47359
19	956	46890
20	997	46512
21	1038	46146
22	1074	45661
23	1112	45260
24	1150	44885
25	1187	44483
26	1230	44335
27	1245	43239
28	1286	43069
29	1325	42864
30	1367	42731
31	1435	43418
32	1488	43610
33	1504	42753
34	1522	41965
35	1568	41990
36	1620	42169
37	1663	42118
38	1706	42039
39	1744	41860
40	1782	41702
41	1821	41547
42	1874	41721
43	1896	41197
44	1932	41007
45	1970	40873
46	2009	40750
47	2046	40582
48	2080	40387
49	2118	40248
50	2156	40119
51	2191	39951
52	2226	39774
53	2260	39594
54	2297	39468
55	2333	39341
56	2350	38894
57	2372	38537
58	2408	38408
59	2428	38051
60	2445	37648
61	2466	37318
62	2502	37224
63	2540	37149
64	2573	37018
65	2617	37035
66	2651	36927
67	2666	36540
68	2676	36115
69	2695	35810
70	2733	35767
71	2750	35447
72	2785	35371
73	2798	35019
74	2835	34974
75	2854	34700
76	2891	34665
77	2926	34592
78	2963	34547
79	2999	34490
80	3011	34169
81	3045	34093
82	3058	33789
83	3070	33486
84	3110	33478
85	3124	33211
86	3138	32934
87	3172	32873
88	3205	32811
89	3239	32753
90	3271	32679
91	3308	32653
92	3343	32607
93	3358	32370
94	3373	32133
95	3411	32125
96	3448	32106
97	3468	31926
98	3502	31875
99	3540	31861
100	3577	31838
101	3621	31882
102	3656	31840
103	3707	31938
104	3725	31758
105	3759	31705
106	3797	31694
107	3839	31710
108	3874	31673
109	3888	31460
110	3901	31250
111	3936	31209
112	3969	31160
113	4005	31131
114	4040	31094
115	4075	31056
116	4115	31059
117	4175	31210
118	4211	31180
119	4248	31154
120	4266	30992
121	4286	30851
122	4321	30809
123	4359	30796
124	4397	30784
125	4435	30767
126	4477	30776
127	4514	30756
128	4529	30580
129	4575	30622
130	4622	30660
131	4671	30717
132	4707	30686
133	4719	30499
134	4747	30419
135	4793	30455
136	4814	30326
137	4849	30292
138	4883	30249
139	4919	30216
140	4954	30182
141	4988	30142
142	5027	30131
143	5064	30107
144	5099	30070
145	5140	30069
146	5174	30027
147	5209	29992
148	5243	29945
149	5275	29895
150	5312	29870
151	5346	29827
152	5384	29811
153	5421	29780
154	5456	29744
155	5492	29716
156	5526	29675
157	5565	29657
158	5600	29621
159	5637	29596
160	5667	29533
161	5700	29486
162	5744	29499
163	5786	29494
164	5857	29643
165	5915	29717
166	5951	29686
167	6002	29725
168	6051	29757
169	6094	29756
170	6136	29747
171	6181	29755
172	6221	29738
173	6258	29709
174	6298	29694
175	6393	29933
176	6439	29943
177	6486	29953
178	6537	29983
179	6576	29959
180	6613	29923
181	6659	29933
182	6700	29916
183	6746	29919
184	6791	29920
185	6831	29896
186	6873	29883
187	6916	29871
188	6954	29842
189	6989	29797
190	7037	29809
191	7076	29778
192	7112	29739
193	7146	29689
194	7182	29652
195	7220	29618
196	7256	29578
197	7290	29530
198	7335	29524
199	7374	29499
200	7412	29464
201	7446	29418
202	7483	29381
203	7517	29333
204	7560	29321
205	7595	29276
206	7631	29237
207	7667	29196
208	7728	29250
209	7772	29240
210	7808	29198
211	7855	29200
212	7896	29174
213	7935	29146
214	7966	29088
215	8004	29055
216	8040	29012
217	8073	28961
218	8109	28920
219	8145	28878
220	8179	28832
221	8213	28783
222	8244	28727
223	8277	28674
224	8310	28623
225	8346	28583
226	8380	28539
227	8440	28580
228	8478	28544
229	8511	28494
230	8545	28447
231	8579	28399
232	8612	28351
233	8646	28303
234	8683	28266
235	8712	28206
236	8745	28155
237	8779	28109
238	8813	28062
239	8852	28032
240	8888	27991
241	8920	27941
242	8959	27910
243	8991	27859
244	9025	27811
245	9058	27763
246	9089	27709
247	9119	27651
248	9150	27599
249	9181	27545
250	9219	27511
251	9261	27489
252	9312	27496
253	9381	27552
254	9414	27505
255	9452	27470
256	9489	27433
257	9535	27423
258	9574	27392
259	9636	27426
260	9671	27383
261	9710	27352
262	9746	27311
263	9784	27278
264	9818	27232
265	9849	27178
266	9896	27169
267	9930	27122
268	9963	27075
269	9998	27032
270	10032	26986
271	10068	26948
272	10102	26902
273	10139	26867
274	10174	26824
275	10248	26884
276	10290	26858
277	10325	26816
278	10359	26771
279	10395	26732
280	10429	26685
281	10462	26639
282	10504	26614
283	10538	26569
284	10574	26528
285	10611	26492
286	10650	26459
287	10686	26418
288	10718	26370
289	10748	26316
290	10782	26271
291	10816	26226
292	10849	26180
293	10884	26136
294	10924	26108
295	10959	26066
296	11003	26046
297	11037	26000
298	11072	25958
299	11119	25944
300	11154	25903
301	11185	25852
302	11219	25809
303	11253	25763
304	11289	25725
305	11324	25684
306	11357	25637
307	11391	25594
